Dataset,Cv,Method,Duration (Seconds),Micro F1,Best Pipeline
PMGT,10,ASTeC,68132,0.946,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,1,ASTeC,14917,0.632,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.7), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'f_classif')]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,2,ASTeC,15753,0.683,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.95), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LbfgsMLPClassifier', [('activation', 'relu'), ('alpha', 1e-05)])]"
TP,3,ASTeC,14068,0.721,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,4,ASTeC,16062,0.679,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,5,ASTeC,13813,0.649,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.95), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'chi2')]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,6,ASTeC,14620,0.688,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 96), ('score_func', 'chi2')]), ('AdamMLPClassifier', [('activation', 'relu'), ('alpha', 1e-05), ('learning_rate', 'adaptive')])]"
TP,7,ASTeC,14891,0.727,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', False), ('sublinear_tf', True)]), ('LbfgsMLPClassifier', [('activation', 'identity'), ('alpha', 1e-05)])]"
TP,8,ASTeC,14449,0.631,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('CustomSelectPercentile', [('percentile', 97), ('score_func', 'chi2')]), ('LinearSVMClassifier', [('C', 100.0)])]"
TP,9,ASTeC,12768,0.710,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 0.65), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('LbfgsMLPClassifier', [('activation', 'identity'), ('alpha', 1e-05)])]"
